gid;geom;objectnummer;soort;voeding;rotatie;actief;privacyverklaring;location_name;width;gebiedstype;gebied
1;0101000020E6100000749C363EEE961340CB918433AE2F4A40;GAWW-03;2D sensor;Eigen voeding via lichtnet;115;Ja;https://www.amsterdam.nl/privacy/specifieke/privacyverklaring-parkeren-verkeer-bouw/crowd-monitoring-systeem-amsterdam/;Stoofsteeg;2.68;Red_light;Wallen
4;0101000020E6100000F7240BF379981340329BB635D82F4A40;GAWW-02;2D sensor;Eigen voeding via lichtnet;115;Ja;https://www.amsterdam.nl/privacy/specifieke/privacyverklaring-parkeren-verkeer-bouw/crowd-monitoring-systeem-amsterdam/;Oudekennissteeg;3.17;Red_light;Wallen
6;0101000020E61000000D9AA78471991340EF0797E9F22F4A40;GAWW-01;2D sensor;Eigen voeding via lichtnet;115;Ja;https://www.amsterdam.nl/privacy/specifieke/privacyverklaring-parkeren-verkeer-bouw/crowd-monitoring-systeem-amsterdam/;Korte Niezel;3.75;Red_light;Wallen
7;0101000020E6100000254E380543971340F7C6B546A92F4A40;GAWW-05;2D sensor;Eigen voeding via lichtnet;14;Ja;https://www.amsterdam.nl/privacy/specifieke/privacyverklaring-parkeren-verkeer-bouw/crowd-monitoring-systeem-amsterdam/;Oudezijds Achterburgwal t.h.v. 116;4.15;Red_light;Wallen
8;;GAWW-08;WiFi sensor;Eigen voeding via lichtnet;0;Nee;https://www.amsterdam.nl/privacy/specifieke/privacyverklaringen-e/crowdmanagement/;;1;;
9;;GAWW-10;WiFi sensor;Eigen voeding via lichtnet;0;Nee;https://www.amsterdam.nl/privacy/specifieke/privacyverklaringen-e/crowdmanagement/;;1;;
10;0101000020E6100000949D2397A497134084D151B3AC2F4A40;GAWW-06;2D sensor;Eigen voeding via lichtnet;20;Nee;https://www.amsterdam.nl/privacy/specifieke/privacyverklaring-parkeren-verkeer-bouw/crowd-monitoring-systeem-amsterdam/;Oudezijds Achterburgwal t.h.v. 97;1;Red_light;Wallen
13;0101000020E6100000C4510317759713408E93C2BCC72F4A40;GAWW-04;2D sensor;Eigen voeding via lichtnet;30;Ja;https://www.amsterdam.nl/privacy/specifieke/privacyverklaring-parkeren-verkeer-bouw/crowd-monitoring-systeem-amsterdam/;Oudezijds Voorburgwal t.h.v. 107;4.38;Red_light;Wallen
14;0101000020E61000007C40457AF699134086AB0320EE2F4A40;GAWW-07;2D sensor;Eigen voeding via lichtnet;110;Ja;https://www.amsterdam.nl/privacy/specifieke/privacyverklaring-parkeren-verkeer-bouw/crowd-monitoring-systeem-amsterdam/;Stormsteeg t.h.v. 3;3.63;Red_light;Wallen
16;;GAWW-09;WiFi sensor;Eigen voeding via lichtnet;0;Nee;https://www.amsterdam.nl/privacy/specifieke/privacyverklaringen-e/crowdmanagement/;;1;;
17;;GAKW-01;WiFi sensor;Eigen voeding via lichtnet;0;Nee;https://www.amsterdam.nl/privacy/specifieke/privacyverklaringen-e/crowdmanagement/;Kalverstraat;8;;
19;;GAKW-03;WiFi sensor;Eigen voeding via lichtnet;0;Nee;https://www.amsterdam.nl/privacy/specifieke/privacyverklaringen-e/crowdmanagement/;;1;;
21;;GAKW-04;3D sensor;Eigen voeding via lichtnet;0;Nee;;;1;;
23;0101000020E6100000BF9D44847F911340E2E7BF07AF2F4A40;Kalverstraat;2D sensor;Eigen voeding via lichtnet;200;Ja;https://www.amsterdam.nl/privacy/specifieke/privacyverklaring-parkeren-verkeer-bouw/crowd-monitoring-systeem-amsterdam/;Kalverstraat t.h.v. 1;1;Shopping;Winkelgebied centrum
24;;GAKW-02;Telcamera;Eigen voeding via lichtnet;175;Nee;;Kalverstraat t.h.v. 66-72;1;;
25;;GABW-03;WiFi sensor;Vaste spanning;0;Ja;https://www.amsterdam.nl/privacy/specifieke/privacyverklaring-parkeren-verkeer-bouw/crowd-monitoring-systeem-amsterdam/;Busplatform CS - Halte D;1;;
26;;GABW-04;WiFi sensor;Vaste spanning;0;Ja;https://www.amsterdam.nl/privacy/specifieke/privacyverklaring-parkeren-verkeer-bouw/crowd-monitoring-systeem-amsterdam/;Busplatform CS - Halte H;1;;
27;;GABW-06;WiFi sensor;Vaste spanning;0;Ja;https://www.amsterdam.nl/privacy/specifieke/privacyverklaring-parkeren-verkeer-bouw/crowd-monitoring-systeem-amsterdam/;Busplatform CS - West (Trapopgang midden);1;;
28;;GABW-02;WiFi sensor;Eigen voeding via lichtnet;0;Ja;https://www.amsterdam.nl/privacy/specifieke/privacyverklaring-parkeren-verkeer-bouw/crowd-monitoring-systeem-amsterdam/;Busplatform CS - Halte B;1;;
29;;GABW-01;WiFi sensor;Vaste spanning;0;Ja;https://www.amsterdam.nl/privacy/specifieke/privacyverklaring-parkeren-verkeer-bouw/crowd-monitoring-systeem-amsterdam/;Busplatform CS - Halte K;1;;
30;;GAAB-07;Telcamera;Eigen voeding via lichtnet;160;Nee;;Bijlmer ArenA;1;;
31;;GABW-05;WiFi sensor;Vaste spanning;0;Ja;https://www.amsterdam.nl/privacy/specifieke/privacyverklaring-parkeren-verkeer-bouw/crowd-monitoring-systeem-amsterdam/;Busplatform CS - Oost (Trapopgang Oost);1;;
33;;GAAB-01-01;Telcamera;Eigen voeding via lichtnet;100;Nee;;Bijlmer ArenA;1;;
34;;GAAB-01-02;Telcamera;Eigen voeding via lichtnet;100;Nee;;Bijlmer ArenA;1;;
37;;GAAB-10;WiFi sensor;Eigen voeding via lichtnet;0;Nee;https://www.amsterdam.nl/privacy/specifieke/privacyverklaringen-e/crowdmanagement/;Bijlmer ArenA;1;;
38;;GAAB-11;WiFi sensor;Eigen voeding via lichtnet;0;Nee;https://www.amsterdam.nl/privacy/specifieke/privacyverklaringen-e/crowdmanagement/;Bijlmer ArenA;1;;
39;;GAAB-13;Telcamera;Eigen voeding via lichtnet;150;Nee;;Bijlmer ArenA;1;;
41;;GAAB-08;Telcamera;Eigen voeding via lichtnet;185;Nee;;Bijlmer ArenA;1;;
43;;GAAB-02;WiFi sensor;Eigen voeding via lichtnet;0;Nee;https://www.amsterdam.nl/privacy/specifieke/privacyverklaringen-e/crowdmanagement/;Bijlmer ArenA;1;;
44;;GAAB-03;Telcamera;Eigen voeding via lichtnet;170;Nee;;Bijlmer ArenA;1;;
46;;GAAB-09;WiFi sensor;Eigen voeding via lichtnet;0;Nee;https://www.amsterdam.nl/privacy/specifieke/privacyverklaringen-e/crowdmanagement/;Bijlmer ArenA;1;;
47;;GAAB-04;Telcamera;Eigen voeding via lichtnet;225;Nee;;Bijlmer ArenA;1;;
49;;GAAB-05;Telcamera;Eigen voeding via lichtnet;350;Nee;;Bijlmer ArenA;1;;
51;;GAAB-06;Telcamera;Eigen voeding via lichtnet;340;Nee;;Bijlmer ArenA;1;;
53;0101000020E61000008A01124DA09813409BFCBBE3B9304A40;GVCV-01;2D sensor;Vaste spanning;30;Ja;https://www.amsterdam.nl/privacy/specifieke/privacyverklaring-parkeren-verkeer-bouw/crowd-monitoring-systeem-amsterdam/;CS - ri. NDSM;1;Ferries;IJ-veren
54;;GVCV-02;Telcamera;Vaste spanning;30;Nee;;;1;Ferries;
55;0101000020E61000002C30BF2E1E9913404A2AAE85B4304A40;GVCV-04;2D sensor;Eigen voeding via lichtnet;30;Ja;https://www.amsterdam.nl/privacy/specifieke/privacyverklaring-parkeren-verkeer-bouw/crowd-monitoring-systeem-amsterdam/;CS - ri. Buiksloterweg (Oost);1;Ferries;IJ-veren
56;0101000020E61000004E9A0645F3981340A355D22FB6304A40;GVCV-03;2D sensor;Vaste spanning;30;Ja;https://www.amsterdam.nl/privacy/specifieke/privacyverklaring-parkeren-verkeer-bouw/crowd-monitoring-systeem-amsterdam/;CS - ri. Buiksloterweg (West);1;Ferries;IJ-veren
57;0101000020E6100000807F4A95289B1340513D88539C304A40;GVCV-05;2D sensor;Vaste spanning;20;Ja;https://www.amsterdam.nl/privacy/specifieke/privacyverklaring-parkeren-verkeer-bouw/crowd-monitoring-systeem-amsterdam/;CS - ri. IJPlein;1;Ferries;IJ-veren
58;;GAKW-05;WiFi sensor;Eigen voeding via lichtnet;0;Nee;https://www.amsterdam.nl/privacy/specifieke/privacyverklaringen-e/crowdmanagement/;Rokin 119;1;;
59;;GAKS-06;WiFi sensor;Eigen voeding via lichtnet;0;Nee;https://www.amsterdam.nl/privacy/specifieke/privacyverklaringen-e/crowdmanagement/;Kalverstraat - OUD;1;;
65;;GAWW-12;Telcamera;Vaste spanning;115;Nee;;Oudekennissteeg;1;Red_light;
66;;GAWW-13;Telcamera;Vaste spanning;280;Nee;;Oudezijds Achterburgwal t.h.v. 114;1;;
67;;GAWW-14;Telcamera;Vaste spanning;50;Nee;;Oudezijds Voorburgwal t.h.v. 91;1;Red_light;
68;;GAWW-15;Telcamera;Vaste spanning;60;Nee;;Oudezijds Achterburgwal t.h.v. 86;1;Red_light;
69;;GAWW-16;Telcamera;Vaste spanning;10;Nee;;Oudezijds Achterburgwal t.h.v. 91;1;Red_light;
70;;GAWW-17;Telcamera;Vaste spanning;50;Nee;;Oudezijds Voorburgwal t.h.v. 206;1;Red_light;
71;;GAWW-18;Telcamera;Vaste spanning;200;Nee;;Kalverstraat t.h.v. 1;1;;
72;;GAWW-19;Telcamera;Vaste spanning;140;Nee;;Molensteeg;1;Red_light;
73;;GAWW-11;Telcamera;Vaste spanning;115;Nee;;Korte Niezel;1;;
74;0101000020E6100000E253A5D2F47E1340F0C16B97362E4A40;GAVM-01-Vondelstraat;mob 3D sensor;Eigen voeding via lichtnet;0;Nee;https://www.amsterdam.nl/privacy/specifieke/privacyverklaring-parkeren-verkeer-bouw/cmsa-corona-privacy/;None;;Park;Vondelpark
76;0101000020E6100000B0DE4D5C33861340EA211ADD412E4A40;GAVM-02-Stadhouderskade;mob 3D sensor;Eigen voeding via lichtnet;0;Ja;https://www.amsterdam.nl/privacy/specifieke/privacyverklaring-parkeren-verkeer-bouw/cmsa-corona-privacy/;Stadhouderskade;12;Park;Vondelpark
78;0101000020E6100000B45E679EB77C134082FFAD64C72D4A40;GAVM-03-VanEeghenstraat;mob 3D sensor;Eigen voeding via lichtnet;0;Nee;https://www.amsterdam.nl/privacy/specifieke/privacyverklaring-parkeren-verkeer-bouw/cmsa-corona-privacy/;Van Eeghenstraat;;Park;Vondelpark
80;0101000020E610000053A74DE66972134092F249DD842D4A40;GAVM-04-Emmalaan;mob 3D sensor;Eigen voeding via lichtnet;0;Nee;https://www.amsterdam.nl/privacy/specifieke/privacyverklaring-parkeren-verkeer-bouw/cmsa-corona-privacy/;Emmalaan;;Park;Vondelpark
82;0101000020E6100000A3923A014D6C13403E3E213B6F2D4A40;GAVM-05-Amstelveenseweg;mob 3D sensor;Eigen voeding via lichtnet;0;Ja;https://www.amsterdam.nl/privacy/specifieke/privacyverklaring-parkeren-verkeer-bouw/cmsa-corona-privacy/;Amstelveenseweg;12;Park;Vondelpark
84;0101000020E6100000E5805D4D9E9213404E2A1A6B7F2D4A40;GAAM-01-AlbertCuypstraat;mob 3D sensor;Eigen voeding via lichtnet;0;Ja;https://www.amsterdam.nl/privacy/specifieke/privacyverklaring-parkeren-verkeer-bouw/cmsa-corona-privacy/;Albert Cuypstraat;;Shopping;Albert Cuypstraat
86;;GAWW-03-3D;3D sensor;;;Nee;;Stoofsteeg;2.68;;
87;0101000020E6100000CBA2B08BA29713402C11A8FE41304A40;GACM-04;mob 3D sensor;NULL;;Ja;https://www.amsterdam.nl/privacy/specifieke/privacyverklaring-parkeren-verkeer-bouw/cmsa-corona-privacy/;Damrak 1-5;7;Shopping;Winkelgebied centrum
88;0101000020E61000001F1329CDE69113403881E9B46E2F4A40;GACM-03;mob 3D sensor;NULL;;Ja;https://www.amsterdam.nl/privacy/specifieke/privacyverklaring-parkeren-verkeer-bouw/cmsa-corona-privacy/;Rokin 66;6;Shopping;Winkelgebied centrum
90;0101000020E6100000FAB836548CE31340D177B7B244294A40;GABM-01;mob 3D sensor;NULL;;Ja;https://www.amsterdam.nl/privacy/specifieke/privacyverklaring-parkeren-verkeer-bouw/cmsa-corona-privacy/;Ganzenpoort;8;Shopping;Zuidoost
