id;type_parameter;type_gebied;type_tijd;level_nr;level_label;lowerlimit;upperlimit
1;Count;Shopping;Peak;1;Comfortabel;0;14
2;Count;Shopping;Peak;2;Acceptabel;14;20
3;Count;Shopping;Peak;3;Risicovol;20;23
4;Count;Shopping;Peak;4;Onacceptabel;23;9999
5;Count;Shopping;Average;1;Comfortabel;0;14
6;Count;Shopping;Average;2;Acceptabel;14;20
7;Count;Shopping;Average;3;Risicovol;20;26
8;Count;Shopping;Average;4;Onacceptabel;26;9999
9;Count;Red_Light;Peak;1;Comfortabel;0;11
10;Count;Red_Light;Peak;2;Acceptabel;11;14
11;Count;Red_Light;Peak;3;Risicovol;14;17
12;Count;Red_Light;Peak;4;Onacceptabel;17;9999
13;Count;Red_Light;Average;1;Comfortabel;0;11
14;Count;Red_Light;Average;2;Acceptabel;11;14
15;Count;Red_Light;Average;3;Risicovol;14;17
16;Count;Red_Light;Average;4;Onacceptabel;17;9999
17;Count;Ferries;Peak;1;Comfortabel;0;14
18;Count;Ferries;Peak;2;Acceptabel;14;20
19;Count;Ferries;Peak;3;Risicovol;20;23
20;Count;Ferries;Peak;4;Onacceptabel;23;9999
21;Count;Ferries;Average;1;Comfortabel;0;14
22;Count;Ferries;Average;2;Acceptabel;14;20
23;Count;Ferries;Average;3;Risicovol;20;26
24;Count;Ferries;Average;4;Onacceptabel;26;9999
25;Speed;Shopping;Peak;1;Comfortabel;0;0.72
26;Density;Shopping;Peak;2;Acceptabel;0.72;1.08
27;Density;Shopping;Peak;3;Risicovol;1.08;2.17
28;Density;Shopping;Peak;4;Onacceptabel;2.17;9999
29;Density;Shopping;Average;1;Comfortabel;0;0.43
30;Density;Shopping;Average;2;Acceptabel;0.43;0.72
31;Density;Shopping;Average;3;Risicovol;0.72;1.08
32;Density;Shopping;Average;4;Onacceptabel;1.08;9999
33;Density;Red_Light;Peak;1;Comfortabel;0;0.72
34;Density;Red_Light;Peak;2;Acceptabel;0.72;1.08
35;Density;Red_Light;Peak;3;Risicovol;1.08;2.17
36;Density;Red_Light;Peak;4;Onacceptabel;2.17;9999
37;Density;Red_Light;Average;1;Comfortabel;0;0.43
38;Density;Red_Light;Average;2;Acceptabel;0.43;0.72
39;Density;Red_Light;Average;3;Risicovol;0.72;1.08
40;Density;Red_Light;Average;4;Onacceptabel;1.08;9999
41;Density;Ferries;Peak;1;Comfortabel;0;0.72
42;Density;Ferries;Peak;2;Acceptabel;0.72;1.08
43;Density;Ferries;Peak;3;Risicovol;1.08;2.17
44;Density;Ferries;Peak;4;Onacceptabel;2.17;9999
45;Density;Ferries;Average;1;Comfortabel;0;0.43
46;Density;Ferries;Average;2;Acceptabel;0.43;0.72
47;Density;Ferries;Average;3;Risicovol;0.72;1.08
48;Density;Ferries;Average;4;Onacceptabel;1.08;9999
49;Speed;Shopping;Peak;1;Comfortabel;9999;1
50;Speed;Shopping;Peak;2;Acceptabel;1;0.81
51;Speed;Shopping;Peak;3;Risicovol;0.81;0.76
52;Speed;Shopping;Peak;4;Onacceptabel;0.76;0
53;Speed;Shopping;Average;1;Comfortabel;9999;1
54;Speed;Shopping;Average;2;Acceptabel;1;0.81
55;Speed;Shopping;Average;3;Risicovol;0.81;0.76
56;Speed;Shopping;Average;4;Onacceptabel;0.76;0
57;Speed;Red_Light;Peak;1;Comfortabel;9999;1
58;Speed;Red_Light;Peak;2;Acceptabel;1;0.81
59;Speed;Red_Light;Peak;3;Risicovol;0.81;0.76
60;Speed;Red_Light;Peak;4;Onacceptabel;0.76;0
61;Speed;Red_Light;Average;1;Comfortabel;9999;1
62;Speed;Red_Light;Average;2;Acceptabel;1;0.81
63;Speed;Red_Light;Average;3;Risicovol;0.81;0.76
64;Speed;Red_Light;Average;4;Onacceptabel;0.76;0
65;Speed;Ferries;Peak;1;Comfortabel;9999;1
66;Speed;Ferries;Peak;2;Acceptabel;1;0.81
67;Speed;Ferries;Peak;3;Risicovol;0.81;0.76
68;Speed;Ferries;Peak;4;Onacceptabel;0.76;0
69;Speed;Ferries;Average;1;Comfortabel;9999;1
70;Speed;Ferries;Average;2;Acceptabel;1;0.81
71;Speed;Ferries;Average;3;Risicovol;0.81;0.76
72;Speed;Ferries;Average;4;Onacceptabel;0.76;0
73;Count;Park;Peak;1.00;Comfortabel;0;14.00
74;Count;Park;Peak;2.00;Acceptabel;14.00;20.00
75;Count;Park;Peak;3.00;Risicovol;20.00;23.00
76;Count;Park;Peak;4.00;Onacceptabel;23.00;10.00 K
77;Count;Park;Average;1.00;Comfortabel;0;14.00
78;Count;Park;Average;2.00;Acceptabel;14.00;20.00
79;Count;Park;Average;3.00;Risicovol;20.00;26.00
80;Count;Park;Average;4.00;Onacceptabel;26.00;10.00 K
81;Density;Park;Peak;1.00;Comfortabel;0;0.72
82;Density;Park;Peak;2.00;Acceptabel;0.72;1.08
83;Density;Park;Peak;3.00;Risicovol;1.08;2.17
84;Density;Park;Peak;4.00;Onacceptabel;2.17;10.00 K
85;Density;Park;Average;1.00;Comfortabel;0;0.43
86;Density;Park;Average;2.00;Acceptabel;0.43;0.72
87;Density;Park;Average;3.00;Risicovol;0.72;1.08
88;Density;Park;Average;4.00;Onacceptabel;1.08;10.00 K
89;Speed;Park;Peak;1.00;Comfortabel;10.00 K;1.00
90;Speed;Park;Peak;2.00;Acceptabel;1.00;0.81
91;Speed;Park;Peak;3.00;Risicovol;0.81;0.76
92;Speed;Park;Peak;4.00;Onacceptabel;0.76;0
93;Speed;Park;Average;1.00;Comfortabel;10.00 K;1.00
94;Speed;Park;Average;2.00;Acceptabel;1.00;0.81
95;Speed;Park;Average;3.00;Risicovol;0.81;0.76
96;Speed;Park;Average;4.00;Onacceptabel;0.76;0
